id,nom,groupe,siret
9040,STARTUP AVENUE,,42825113600019
9041,GUGLER FRANCE,,44078652300025
9042,LEE COMPANY SA,,33376089000058
9043,CENTRE DE GESTION MUTUALISTE PARTAGE MUTUELLE GENERALE DES CHEMINOTS,Groupe MGC,77567855000143
9046,VEGA GESTION,,38225685700071
9047,CHEZ LOUIS POST PRODUCTION,,42910586900037
9048,SCOP SOLID'ACTION,,52259482900015
9049,99 PARTNERS ADVISORY,,51845573800014
9051,THE BRAND NATION,,35169361900030
9052,ACE EUROPEAN GROUP LIMITED,,45032737400010
9053,AIRTAG,,48957827800041
9054,ALBAUT VILLETTE,,30118871000216
9055,ALSTOM INFORMATION SYSTEMS & TECHNOLOGY,ALSTOM,44776734400172
9056,ALTHEA TEC,,50063389600021
9057,AMA OVERSEAS FRANCE,,44059077600017
9058,AMERICAN RETRO,,44194072300055
9059,ANAXAGO,,53953906400011
9060,APACHE,,41306785100209
9061,AP'AIPS,,41269168500025
9064,AREPA GENERATIONS,,79012165100018
9065,SOCIETE D'EDITION DE CANAL PLUS,,32921173400283
9066,MILLE & UNE VAGUES,,49749987100018
9067,GROUEK,,47790382700012
9068,THE OFFICERS GROUP SAS,,40819760600010
9069,BALP SAS MONSIEUR MEUBLE,,77554932200037
9071,COMPIN SEATS,,57203045000082
9072,ATHENES SERVICES,,43001039700015
9073,MARQUE VERTE WELCOOP SANTE,,75069837500011
9074,NETMEDIAEUROPE SA,,49864788200048
9075,R. PARTICIPATIONS,,44277890800032
9076,BALINEA,,52479067200025
9077,PLAYCUBE,,45075009600015
9078,GRANDVISION FRANCE,,49278795700033
9079,BIG BRANDS COMPANY (BB COMPANY),,51295697000010
9080,CODES ROUSSEAU,,48658021000053
9081,LDC SABLE,LDC GROUP,44450202500018
9082,BOUIGUE DEVELOPPEMENT TERRASS KARDINAL,,42933763700020
9083,SARL BOUT'CHOU,,38978356400021
9084,MATELLI,,50460962900028
9085,MULTIPLE RURAL,MULTIPLE RURAL,48904414900016
9086,BAYOO,,43275741700030
9087,GROUPE KORIAN,,44780047500058
9088,VIRTUALI,,50431772800021
9090,NUMERGY,,75310595600019
9091,CITYVISION,,42119700500018
9092,PIXAGILITY,,51283626300024
9093,BERROS BRUNO,,39178904700027
9094,BUUYERS,,79258487200016
9096,GROUPE COMMENTCAMARCHE REGIE,,51407372500038
9098,FAIVELEY TRANSPORT GENNEVILLIERS,,50199607800033
9099,HIXANCE ASSET MANAGEMENT,,50290470900016
9100,DELTA LINGERIE,,39925851601305
9104,TECH INGENIERIE,,41372457600025
9107,CENTRE DE MISE EN RELATION CLIENTS (CMRC),,79017599600012
9108,COEURET IMMOBILIER,,47959715500015
9109,COFLEC,,34008757600047
